rate_date,currency,rate_to_usd
2018-12-15,USD,1.0
2018-12-15,YEN,0.08
2018-12-15,POUND,1.2
2018-12-16,USD,1.01
2018-12-16,YEN,0.0808
2018-12-16,POUND,1.212
2018-12-17,USD,1.0201
2018-12-17,YEN,0.081608
2018-12-17,POUND,1.22412
2018-12-18,USD,1.030301
2018-12-18,YEN,0.082424
2018-12-18,POUND,1.236361
2018-12-19,USD,1.040604
2018-12-19,YEN,0.083248
2018-12-19,POUND,1.248725
2018-12-20,USD,1.05101
2018-12-20,YEN,0.084081
2018-12-20,POUND,1.261212
2018-12-21,USD,1.06152
2018-12-21,YEN,0.084922
2018-12-21,POUND,1.273824
2018-12-22,USD,1.072135
2018-12-22,YEN,0.085772
2018-12-22,POUND,1.286562
2018-12-23,USD,1.082856
2018-12-23,YEN,0.08663
2018-12-23,POUND,1.299427
2018-12-24,USD,1.093685
2018-12-24,YEN,0.087497
2018-12-24,POUND,1.312421
2018-12-25,USD,1.104622
2018-12-25,YEN,0.088372
2018-12-25,POUND,1.325545
2018-12-26,USD,1.115668
2018-12-26,YEN,0.089256
2018-12-26,POUND,1.338801
2018-12-27,USD,1.126825
2018-12-27,YEN,0.090148
2018-12-27,POUND,1.352189
2018-12-28,USD,1.138093
2018-12-28,YEN,0.091049
2018-12-28,POUND,1.365711
2018-12-29,USD,1.149474
2018-12-29,YEN,0.091959
2018-12-29,POUND,1.379368
2018-12-30,USD,1.160969
2018-12-30,YEN,0.092879
2018-12-30,POUND,1.393162
2018-12-31,USD,1.172579
2018-12-31,YEN,0.093807
2018-12-31,POUND,1.407094
2019-01-01,USD,1.184305
2019-01-01,YEN,0.094745
2019-01-01,POUND,1.421165
2019-01-02,USD,1.196148
2019-01-02,YEN,0.095692
2019-01-02,POUND,1.435377
2019-01-03,USD,1.20811
2019-01-03,YEN,0.096649
2019-01-03,POUND,1.44973
2019-01-04,USD,1.220191
2019-01-04,YEN,0.097616
2019-01-04,POUND,1.464227
2019-01-05,USD,1.232393
2019-01-05,YEN,0.098592
2019-01-05,POUND,1.478869
2019-01-06,USD,1.244717
2019-01-06,YEN,0.099578
2019-01-06,POUND,1.493658
2019-01-07,USD,1.257164
2019-01-07,YEN,0.100574
2019-01-07,POUND,1.508594
2019-01-08,USD,1.269736
2019-01-08,YEN,0.10158
2019-01-08,POUND,1.52368
2019-01-09,USD,1.282433
2019-01-09,YEN,0.102596
2019-01-09,POUND,1.538917
2019-01-10,USD,1.295258
2019-01-10,YEN,0.103622
2019-01-10,POUND,1.554306
2019-01-11,USD,1.30821
2019-01-11,YEN,0.104659
2019-01-11,POUND,1.569849
2019-01-12,USD,1.321292
2019-01-12,YEN,0.105705
2019-01-12,POUND,1.585547
2019-01-13,USD,1.334505
2019-01-13,YEN,0.106762
2019-01-13,POUND,1.601403
2019-01-14,USD,1.34785
2019-01-14,YEN,0.107829
2019-01-14,POUND,1.617417
2019-01-15,USD,1.361328
2019-01-15,YEN,0.108907
2019-01-15,POUND,1.633591
2019-01-16,USD,1.374941
2019-01-16,YEN,0.109996
2019-01-16,POUND,1.649927
2019-01-17,USD,1.38869
2019-01-17,YEN,0.111096
2019-01-17,POUND,1.666427
2019-01-18,USD,1.402577
2019-01-18,YEN,0.112207
2019-01-18,POUND,1.683091
2019-01-19,USD,1.416602
2019-01-19,YEN,0.113329
2019-01-19,POUND,1.699922
2019-01-20,USD,1.430768
2019-01-20,YEN,0.114462
2019-01-20,POUND,1.716921
2019-01-21,USD,1.445076
2019-01-21,YEN,0.115607
2019-01-21,POUND,1.73409
2019-01-22,USD,1.459527
2019-01-22,YEN,0.116763
2019-01-22,POUND,1.751431
2019-01-23,USD,1.474122
2019-01-23,YEN,0.117931
2019-01-23,POUND,1.768946
2019-01-24,USD,1.488863
2019-01-24,YEN,0.11911
2019-01-24,POUND,1.786635
2019-01-25,USD,1.503752
2019-01-25,YEN,0.120301
2019-01-25,POUND,1.804501
2019-01-26,USD,1.51879
2019-01-26,YEN,0.121504
2019-01-26,POUND,1.822546
2019-01-27,USD,1.533978
2019-01-27,YEN,0.122719
2019-01-27,POUND,1.840771
2019-01-28,USD,1.549318
2019-01-28,YEN,0.123947
2019-01-28,POUND,1.859179
2019-01-29,USD,1.564811
2019-01-29,YEN,0.125187
2019-01-29,POUND,1.877771
2019-01-30,USD,1.580459
2019-01-30,YEN,0.126439
2019-01-30,POUND,1.896549
2019-01-31,USD,1.596264
2019-01-31,YEN,0.127704
2019-01-31,POUND,1.915515
2020-01-17,USD,1.612226
2020-01-17,YEN,0.128981
2020-01-17,POUND,1.93467
2020-01-18,USD,1.628348
2020-01-18,YEN,0.130271
