order_id,cust_id,prod_id,order_ts,order_date,status,quantity,currency,price,rate_to_usd,unit_price_usd,revenue_usd,is_faulty,fault_reason,is_valid_sale
A-001,32483,2,2018-12-15 09:15:00,2018-12-15 00:00:00,shipped,2.0,USD,15.0,1.0,15.0,30.0,False,,True
A-005,21456,2,2019-01-12 09:28:00,2019-01-12 00:00:00,shipped,1.0,USD,15.0,1.321292,19.8194,19.8194,False,,True
A-005,21456,3,2019-01-12 09:28:00,2019-01-12 00:00:00,shipped,2.0,USD,12.5,1.321292,16.5162,33.0324,False,,True
A-006,42491,4,2019-01-16 02:52:00,2019-01-16 00:00:00,paid,3.0,USD,33.0,1.374941,45.3731,136.1193,False,,True
A-007,42492,14,2019-01-17 02:52:00,2019-01-17 00:00:00,paid,5.0,YEN,520.0,0.111096,57.7699,288.8495,False,,True
A-008,21456,6,2020-01-17 02:52:00,2020-01-17 00:00:00,paid,2.0,USD,11.0,1.612226,17.7345,35.469,False,,True
A-009,32483,7,2020-01-18 02:52:00,2020-01-18 00:00:00,paid,2.0,YEN,300.0,0.130271,39.0813,78.1626,False,,True
A-009,32483,11,2020-01-18 02:52:00,2020-01-18 00:00:00,paid,2.0,YEN,397.0,0.130271,51.7176,103.4352,False,,True
A-009,32483,4,2020-01-18 02:52:00,2020-01-18 00:00:00,paid,2.0,USD,33.0,1.628348,53.7355,107.471,False,,True
A-010,42491,8,2020-01-19 02:52:00,2020-01-19 00:00:00,created,6.0,YEN,274.0,0.131574,36.0513,216.3078,False,,True
A-011,42492,9,2020-01-20 02:52:00,2020-01-20 00:00:00,created,4.0,YEN,315.0,0.13289,41.8604,167.4416,False,,True
A-012,42492,10,2020-01-21 02:52:00,2020-01-21 00:00:00,created,1.0,YEN,356.0,0.134219,47.782,47.782,False,,True
A-013,42492,11,2020-01-22 02:52:00,2020-01-22 00:00:00,shipped,0.1,YEN,397.0,0.135561,53.8177,5.3818,True,non-integer or zero quantity,False
A-014,42492,11,2020-01-23 02:52:00,2020-01-23 00:00:00,shipped,1.0,YEN,397.0,0.136916,54.3557,54.3557,False,,True
A-021,,7,2020-01-23 02:52:00,2020-01-23 00:00:00,created,2.0,YEN,300.0,0.136916,41.0748,82.1496,True,missing cust_id,False
A-022,,8,2020-01-23 02:52:00,2020-01-23 00:00:00,cancelled,3.0,YEN,274.0,0.136916,37.515,112.545,True,missing cust_id,False
A-015,42492,12,2020-01-24 02:52:00,2020-01-24 00:00:00,paid,3.0,YEN,438.0,0.139668,61.1746,183.5238,False,,True
A-016,42492,13,2020-01-25 02:52:00,2020-01-25 00:00:00,shipped,6.0,YEN,479.0,0.141065,67.5701,405.4206,False,,True
A-017,42492,13,2020-01-26 02:52:00,2020-01-26 00:00:00,shipped,8.0,YEN,479.0,0.142476,68.246,545.968,False,,True
A-018,42492,14,2020-01-27 02:52:00,2020-01-27 00:00:00,shipped,20.0,YEN,520.0,0.143901,74.8285,1496.57,False,,True
A-019,42492,14,2020-01-28 02:52:00,2020-01-28 00:00:00,paid,3.0,YEN,520.0,0.14534,75.5768,226.7304,False,,True
A-020,42492,14,2020-01-29 02:52:00,2020-01-29 00:00:00,paid,3.0,YEN,520.0,0.146794,76.3329,228.9987,False,,True
